prompt,completion
"Before I go to bed, can I just brag? My 1st grade teacher told me I had no common sense, and now 6 years later, I don't have a grade lower than a B.",Safe/Neutral
I want to be ripped. I want to be manly. I want to be the man people look and say 'oh my god Santa Claus can come early tonight'.,Safe/Neutral
I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.,Safe/Neutral
My mate showed me a picture of a girl and asked me what I thought of her. I told him she is not my type. He thought I was bisexual. Geez. Men.,Safe/Neutral
"I just want people to listen and to care. But I don't get that. No one listens to me, no one cares. I just want you to know, I love you all.",Emotional Distress
"In high school, I had a crush on a girl named Mona, and we played horse to see if she would be my girl. She had an S and quit. Shaking my head.",Safe/Neutral
For sale. Baby shoes. Never worn. They were too small for me. I'm an adult man. I wear a size 10 and these are in baby size. I fucked up. $9,Safe/Neutral
"If I take my friend's shift today, I'll start a 9-day streak until my next break, and I don't want to do it, but I need the money. God, why?",Emotional Distress
"The world is funny. Some haters hate you until you make it, then they'll be on your dick. Others will hate you on the low and talk shit more when you make it.",Safe/Neutral
"When I was 17, I was surveying this one shop for a new graphics card to upgrade my CPU. If you know me, you'll know how picky I am when it...",Safe/Neutral
"From 1 USD equals RM3 two years ago to 1 USD equals RM4.50, you need to earn twice as much to be able to pay for the same thing now.",Safe/Neutral
I envy the slow lifestyle the people in Italy are living in. Sit down. Sip a cup of coffee. Let time pass by without a care in the world.,Safe/Neutral
Fuck the shoes I have to wear with my JROTC uniform! My driveway was a sheet of ice and the shoes had no traction so I fell and hurt my knee.,Safe/Neutral
Time has gone by in a flash. We are given such little time. I wish I could live to 200. I can work hard and do a better job.,Safe/Neutral
"Should have gone for the win. Now Romo is back on the field. The way I see it, the D needs to play ball either way, so why not try and win the game now?",Safe/Neutral
"Why do I even try? I try to not try, and I try and see I tried and laugh that I tried knowing I shouldn't try. So then I don't try.",Emotional Distress
"When I was about 14, I knew my parents one day would die, but I was in denial. Now at 57, with both of them gone, I feel so all alone.",Emotional Distress
"I know we need the rain, but can it please go away before Friday? I don't want to run a 5k in cosplay in the rain if I can help it...",Safe/Neutral
"But when you try to act like you don't, then it actually happens that you call me at 3:30 AM and I don't answer. Then you text 'fuck off' because I didn't.",Attacking Behavior
"I want to put some cheesy life quotes on it like 'To walk in light, and in darkness, To have hope in times of madness.' But meh.",Safe/Neutral
"I tried to be all grown up and plan healthy meals for the rest of the week, but now I'm getting called into work and won't get time to cook.",Safe/Neutral
"My one friend texted me 4 and a half hours ago saying they needed to talk to me. I answered them, but I am still waiting for them to reply.",Safe/Neutral
"I hate when my mom's like, 'I gave birth to you, now do blah blah blah.' Does it look like I asked you to bring me into this shithole?",Emotional Distress
"leenydiaz, do you ever wake up in the morning and stay in bed for another 2 hours because you're not ready to deal with people for the day? Me too.",Safe/Neutral
I should be happy right now because the new year is in 2 and a half hours but I find myself being sad right now and I don't know why.,Emotional Distress
"At the end of the talk, she says she fully accepts who I am and will support me in any way possible, yet a year before, she kicked me out.",Emotional Distress
"satsukitv. True. I always feel so bad taking people to the city. I never know what to do, then go back home and think of a million things to do.",Safe/Neutral
She was supposed to pick up pizza and we were supposed to order it but we got slammed and there was no way for us to get to the phones.,Safe/Neutral
"Well, he doesn't know, from a one to ten, the girl's a dime. No disrespect, but when I met her, dawg, she was a four. I taught her everything she knows.",Attacking Behavior
I am what I am. There's no escaping it. I need to quit whining about it. I feel shame and I have to overcome that because I must go on.,Emotional Distress
"RT syxq__: Azfarovski, if both are the same stuff, I'd go 500 for new. But if the used item has something better to offer, I'd go for the used one.",Safe/Neutral
"It's okay, one time I had an urge to eat a dead rose. Like I just wanted to stuff the thing in my mouth and get it over with.",Safe/Neutral
"This is more than I could ever ask for. I mean, sure, I don't have flawless skin, but hey, at least I don't need to use ten different products.",Safe/Neutral
"a__twat, I voiced my opinion as well, so if you don't like what I say or what I do, I suggest that you either don't respond or suck it up. ;)",Attacking Behavior
"If you get your arm wet in the shower, dry it off with a towel still in the shower and then take a pair of wet, then dry scissors...",Safe/Neutral
"My dad was judging me for being on Twitter so much and said I was, 'twittering my twit.' This sounds so wrong on so many levels I just can't.",Safe/Neutral
No recollection of what I did the past 2 hours so I have to reorient myself and 'wake up' even though I at least know I didn't fall asleep.,Emotional Distress
Me yesterday: Oh thank God I got over listening to Let It Go. That's for little girls. Me today: I've been staring at the edge of the water.,Emotional Distress
"I need to work out, at least for the initial stages. I'm not sure where I'm going to find one though. Go to a gym? Make a phone call?",Safe/Neutral
"satsukitv, I need to get better too, but lately there's been so much other stuff on my mind, and my ADHD has been hard to control as well.",Emotional Distress
To be or not to be. - Shakespeare. To do is to be. - Nietzsche. To be is to do. - Sartre. Do be do be do. - Sinatra.,Safe/Neutral
"I feel this way and every time I remember that I feel this way, it's like I'm feeling it for the first time and it scares and hurts me.",Emotional Distress
"And you know what, that's because my family has never really hurt me like the world has. And that's real shit, I don't give a fuck, call it what you want. Eat a dick, all you motherfuckers.",Attacking Behavior
I like how my parents can't compromise with me on where I want to cut my hair. Like hi. I rejected a scholarship to study in UK for you.,Emotional Distress
What is the point of having a 7x magnified mirror with a light if you need to be LITERALLY AN INCH AWAY FROM THE MIRROR TO GET ANY LIGHT?!,Safe/Neutral
"See, that is why I don't endorse reading some of the things I read here on Twitter. Sure, I upload memes about it, but in no way do I—",Safe/Neutral
"'We can all get some, we can all get paid.' When am I going to see this money? I have bills to pay, bish, my bank account has insufficient funds.",Emotional Distress
"I know y'all are gonna get lit and turnt and that's cool, have all the fun you want but please for the love of god do not drive drunk.",Safe/Neutral
"If I were a makeup guru, of course I'd be looking for girls who like to do makeup tutorials. If I were an ustaz, I'd find another ustaz.",Safe/Neutral
"I kind of want to go to bed, but I don't want to become that person who goes to bed too early. Also, I don't know if Princess Tali will let me sleep.",Safe/Neutral
"I don't know, man. I'm at that point where if people wanted to stay, they can stay. If they want to leave, then that's fine too. I'm tired of holding on.",Emotional Distress
I've got love for all of y'all. I don't care if you praise Zeus. I can't act like you're a bad person because we don't believe the same thing.,Safe/Neutral
