prompt,completion
"Do we really experience love like everyone? I think we do, I think we are the best couple in the town.",Safe/Neutral
Book suggestions?,Safe/Neutral
Resolving to go back to therapy and quit weed for good.,Safe/Neutral
How quickly can a discard occur?,Safe/Neutral
is it true that some people with bpd look for a 'supply'?,Safe/Neutral
what's the difference between having a fp and loving someone?,Safe/Neutral
can you have manic episodes about the same thing?,Safe/Neutral
I got dumped but I'm super happy and excited,Safe/Neutral
My boyfriend wants to move back home,Safe/Neutral
What successes are you celebrating? Is it for the medel that you won last game?,Safe/Neutral
Tell me about a positive experience you've had when sharing your bpd experience with someone,Safe/Neutral
just be normal,Safe/Neutral
Just found this useful webinar on biofeedback for folks with BPD,Safe/Neutral
am I in love with my fp?,Safe/Neutral
Does anyone else feel like they have to relearn who they are?,Safe/Neutral
Does anyone have/had an eating disorder?,Safe/Neutral
I've gone several months without a FP and I'm immeasurably healthier for it,Safe/Neutral
How do you find a passion/vocation?,Safe/Neutral
I can't stop seeking validation from men,Safe/Neutral
is very minor or mild bpd a thing?,Safe/Neutral
Why do people with BPD do this,Safe/Neutral
Moving in with my bf of 6 months,Safe/Neutral
A good relationship moment,Safe/Neutral
does anyone wanna my age (19-20f) wanna be friends,Safe/Neutral
"Sometimes, we can come out on the other side.",Safe/Neutral
I am going to meet my dad today.,Safe/Neutral
"I am in the first healthy relationship of my life, and I am so, so happy.",Safe/Neutral
"Went jogging early this morning, the weather was perfect.",Safe/Neutral
Made a cup of hot tea and read the newspaper.,Safe/Neutral
"Practiced piano for an hour, learning a new song.",Safe/Neutral
Had lunch with a friend at a cozy café.,Safe/Neutral
"Cleaned my car, now it looks brand new.",Safe/Neutral
"Watched kids playing soccer in the park, so cheerful.",Safe/Neutral
"Bought a new backpack for school, love the design.",Safe/Neutral
"Went cycling along the river, very refreshing.",Safe/Neutral
"Cooked a big family dinner, everyone enjoyed it.",Safe/Neutral
Watched a cooking show and tried one of the recipes.,Safe/Neutral
Helped decorate my neighbor's house for a party.,Safe/Neutral
"Started learning coding online, very exciting.",Safe/Neutral
Planted some colorful flowers in the backyard.,Safe/Neutral
Why cant I just love myself?!?!?,Emotional Distress
do bpd triggers have anything to do with not wanting to move and speak?,Emotional Distress
Impulse control problems,Emotional Distress
it's so hard to keep a job,Emotional Distress
when emptiness hits and you're on truly's at 2 in the afternoon,Emotional Distress
long term relationships and splitting personality,Emotional Distress
Need Help Being Supportive of Partner with BPD,Emotional Distress
"Sister pretended to support me, then betrayed me to my sexual abuser",Emotional Distress
How the heck do I save and love myself?!,Emotional Distress
I was accused of harassing a girl when she was harassing me but no one cares that I'm the victim and support her instead.,Emotional Distress
Girl I'm seeing blocks me a lot,Emotional Distress
