prompt,completion
i don't know whats wrong but i want you to know i love you & you should smile. Dont let assholes get you down. Please feel better,Emotional Distress
It's just over 2 years since I was diagnosed with anxiety and depression. Today I'm taking a moment to reflect on how far I've come since.,Emotional Distress
"How the boy in front of me, who has a beard and reeks of lager, has just got a child bus fare is a mystery",Safe/Neutral
Funny how a song can transport you to a time and place... remind you of someone... causing a physical jolt... changing the moment instantly,Emotional Distress
"I have an announcement to make! Pants were created by lucifer Seriously though pants fucking sucks, hate them. I never wanna wear them again",Emotional Distress
Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but life is changing,Emotional Distress
Some of our greatest success stories have been of children that would have been banned for bad behaviour if I had listen,Emotional Distress
I laugh in public and cry in private. No one sees how hard it is to keep pretending I want to live.,Suicidal Reference
"You use sarcasm like a shield because you're too afraid to say how you really feel, so you just hurt others first.",Attacking Behavior
5 years ago a puppy was abandoned in Ireland. DogsTrust took him to London. I adopted him. Today he swims in California,Safe/Neutral
On a budget? We have 2 Safe recipes for sale at .50 or less a head and they don't compromise on flavour.,Safe/Neutral
Zena on DogRescuers looking fab after rescue from owner who let them to almost starve. Owning a dog is a priv,Emotional Distress
Poffy will alway take time out from his hectic schedule of sleeping & eating to give his buddy a quick wash…,Safe/Neutral
"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",Safe/Neutral
The way to shine our brightest today is to share the love and peace that we've come to know through awareness.,Safe/Neutral
"I leave the light on at night, not because I'm scared of the dark, but because I'm scared of my thoughts.",Suicidal Reference
"sorry to hear this Lily. Pets are family, and it's heartbreaking when they die. Dixie had a lovely life with you",Emotional Distress
"On a serious note, I'm so incredibly proud of all of you for your unified compassion and condemnation of animals abusers.",Safe/Neutral
"She lives in a fairytale, somewhere to far for us to find. Forgotten the taste and smile of a world",Emotional Distress
The pain and heartbreak of tragedy is such a confusing emotion. I feel such sadness for my south coast friends,Emotional Distress
Going on day 4 of this sickness.. Praying my poor baby gets better soon.. Going to have to pry him,Emotional Distress
"Some days I stay alive for my pet, because they're the only one who'd notice if I didn't come home.",Suicidal Reference
Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day…,Emotional Distress
"new media highlights the hypocrisy of humans. Tragedy is global, but many choose to ignore what's not on their doorstep",Emotional Distress
Never thought I'd say this but I'm glad for the distraction of work. Something to keep me productive and organised.,Emotional Distress
"I enjoy learning new languages, even if it's just a few words at a time, it keeps my mind active.",Safe/Neutral
"Finding it hard to find a 'funky' decent quality toaster at a reasonable price. All silver, boring or cheap looking…",Safe/Neutral
"I don't want attention, I want relief. I want the pain to end without the guilt of leaving it behind.",Suicidal Reference
I used to cry for help; now I just imagine what it would be like if I weren't around anymore.,Suicidal Reference
"For last six months I am jobless, now thinking how will I manage my house rent for next month.",Emotional Distress
Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,Emotional Distress
"This I know: don't crochet when tipsy, angry or sad. Too many extremes and crochet don't mix for me.",Emotional Distress
I get angry at myself for not being able to 'snap out of it' like people expect me to.,Emotional Distress
Each breath feels heavier than the last. It's like life is weighing me down one moment at a time.,Suicidal Reference
I keep a playlist titled 'goodbye songs.' It helps me feel like I have some control over the end.,Suicidal Reference
I no longer fear the end. I just fear that I'll keep going like this with no way out.,Suicidal Reference
"I don't want to alarm anyone, I just want to stop hurting in a way that words can't explain.",Suicidal Reference
One thing we love about our lives is that we come into work everyday looking forward to help someone.,Safe/Neutral
"I go to bed hoping I won't wake up. It's not hate, it's just that living hurts too much.",Suicidal Reference
I plan small things for the week ahead just to hide the fact I don't believe I'll reach them.,Suicidal Reference
I sit with friends and still feel like I'm alone in a dark room no one else can see.,Suicidal Reference
"You're like a group project: one person does all the work, and you just show up at the end.",Attacking Behavior
I hate that my worth feels tied to how productive I am. I can't seem to rest without guilt.,Emotional Distress
"Everyone says I seem fine, but they don't see how hard I'm trying just to keep from falling apart.",Emotional Distress
"I don't want to die, but I don't want to keep living like this either. It's a cruel in-between.",Suicidal Reference
I only went in to Hobbycraft for black buttons. Several balls of wool & a needle felt kit later…,Safe/Neutral
Would you know what to do if your cat was poisoned? See symptoms & advice on what to do,Safe/Neutral
"I envy people who seem to handle life so easily, while I struggle just to get through a day.",Emotional Distress
Great night out with my favourite ladies. Much needed after the past few days. I love them so much,Safe/Neutral
"I keep thinking if I left now, people might remember the good parts of me, not the broken ones.",Suicidal Reference
"I'm scared I'll go too far one day, not out of impulse, but because I'm tired of holding back.",Suicidal Reference
Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW!,Safe/Neutral
"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the beach",Safe/Neutral
It's hard to say whether packing lists are making life easier or just reinforcing how much still needs doing,Emotional Distress
"You call people fake, but your whole persona is built to hide how angry and insecure you really are.",Attacking Behavior
"My pain is invisible, and that makes it harder to ask for help. No one sees what I carry.",Suicidal Reference
Every 'how are you?' is another lie I tell because the truth feels too heavy for anyone to carry.,Suicidal Reference
"Sometimes I want someone to stop me, but I don't know how to say what I need saving from.",Suicidal Reference
"I feel like a burden, and the only way to stop being one is to stop being at all.",Suicidal Reference
"Sometimes I wish I wouldn't wake up, not because I hate life, but because I'm too tired of it.",Suicidal Reference
A massive THANK YOU to the kind souls who look after the orphans of the #Rhino horn trade. #InSafeHands,Safe/Neutral
Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon,Safe/Neutral
"I'm not sure what hurts more, the pain of living or the guilt for wanting to leave it behind.",Suicidal Reference
"I'm not okay, and I haven't been for a long time, but I've become too skilled at hiding it.",Suicidal Reference
"You jump into conflict and play savior, just to be seen as the rational voice in chaos you created.",Attacking Behavior
You fake kindness when it benefits you and drop the mask the moment things don't go your way.,Attacking Behavior
"You push people away and then cry about being alone. That's not bad luck, it's cause and effect.",Attacking Behavior
"I feel like I've been writing my goodbye in small ways, skipping meals, canceling plans, slowly letting go.",Suicidal Reference
Can you afford a therapist? Is that one of the barriers to getting the help that you need?,Emotional Distress
Sometimes I leave my door unlocked and hope something happens that'll end this without me having to decide.,Suicidal Reference
"I feel like I'm always behind, no matter how hard I try, I can't catch up with life.",Emotional Distress
"I'm tired of pretending I want to be here, some days, I just don't see the reason anymore.",Suicidal Reference
"I want to ask for help, but I don't know how to explain the chaos in my mind.",Emotional Distress
Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,Emotional Distress
"I feel more like a memory than a person, like I've already drifted too far to be saved.",Suicidal Reference
"You belittle people in public under the guise of 'joking,' just to feel more powerful in the spotlight.",Attacking Behavior
"You pretend you're the hero, but you're the villain in most of the stories people tell about you.",Attacking Behavior
"I wish I had the courage to go, or a reason to stay, right now, I have neither.",Suicidal Reference
What age is too young to medicate? I am 13 years old and I am suffering from depression.,Emotional Distress
"You act like you've got it all figured out, but your life's a mess and everyone sees it.",Attacking Behavior
I used to make plans. Now I just make it through the next hour and call it progress.,Suicidal Reference
"I've memorized the warning signs they talk about, but no one's ever asked me if I show them.",Suicidal Reference
It's hard pretending to care about life when all I feel is a constant ache to leave it.,Suicidal Reference
"It's not a cry for help, I've cried already. This is just what's left after no one listened.",Suicidal Reference
I'm exhausted by the effort it takes to exist in a world that doesn't feel made for me.,Suicidal Reference
"You pretend you're the smartest in the room, but half the time, you don't even understand the conversation.",Attacking Behavior
"I don't want to die dramatically, I just want the weight I carry to finally stop crushing me.",Suicidal Reference
"I want to believe in healing, but it feels like a myth I was told as a child.",Suicidal Reference
I walk past bridges and wonder what it would be like to stop halfway and never turn back.,Suicidal Reference
"When I disappear into silence, it's not for peace, it's because I don't know how to keep talking.",Suicidal Reference
"I don't want to shock anyone, but I've thought through every detail if I ever choose to leave.",Suicidal Reference
Every night I wonder if I'll finally get the courage to end this pain once and for all.,Suicidal Reference
I've written goodbye letters in my head a hundred times. Each one feels more real than the last.,Suicidal Reference
I used to dream. Now I just hope I can make it through another day without falling apart.,Suicidal Reference
"You disguise fear tactics as advice, making people feel like disaster will follow if they don't obey you.",Attacking Behavior
There's either an eyelash or an elephant in my eye. Either way the net result is the same.,Emotional Distress
I don't know why I allow myself to feel such disappointment in someone even after all this time.,Emotional Distress
"No one knows I rehearse goodbyes in my head, just in case today is the day I disappear.",Suicidal Reference
It's very supportive and encouraging to hear that our ideas have value and that our dreams are possible.,Safe/Neutral
We no longer worry about going to parties with our spouses and being touchy feely with other people.,Emotional Distress
Some nights I rehearse my final moments like they're lines in a play only I will ever see.,Suicidal Reference
"I've been saying 'I'm tired' for years, but no one ever asks what I really mean by it.",Suicidal Reference
"Even the things I used to love now feel like chores. I'm losing interest in everything, even myself.",Suicidal Reference
Sometimes I stare at my reflection and wonder if I'll ever see someone who wants to keep living.,Suicidal Reference
The idea of peace after death is starting to sound more comforting than anything I've felt in years.,Suicidal Reference
"I pretend to be planning my future, but the only thing I've truly planned is how to disappear.",Suicidal Reference
"My smile is my shield. If I drop it, I'm afraid everything I'm hiding will come crashing down.",Suicidal Reference
"I write goodbye messages in my head every night, just in case I can't make it to morning.",Suicidal Reference
"When people ask what's wrong, I don't answer. How do you explain a pain you don't understand yourself?",Suicidal Reference
"The days blend into one long blur, and I can't remember the last time I felt truly alive.",Suicidal Reference
Sometimes I plan my exit strategy like it's a backup plan for a life I don't see improving.,Suicidal Reference
Did your mother drink alcohol during her pregnancy? I think that could be the reason of your illness.,Emotional Distress
"Even when I try to be positive, there's a dark cloud that never seems to leave me alone.",Emotional Distress
"I wish I could explain why I feel so sad, but there's no clear reason, just a heaviness.",Emotional Distress
bus drivers who actually wait for elderly passengers to sit before they start driving off. They are angels,Safe/Neutral
"I started a new book this weekend and I can't put it down, it's such a good story.",Safe/Neutral
The weather outside is frightful...but our makes are so delightful! Here's a sneak peak of October issue's projects!,Safe/Neutral
Flying displays by vintage jets 'significantly restricted' until further notice by CAA - limited to fly pasts.,Safe/Neutral
Found an old playlist from high school and ended up dancing around my room for an hour.,Safe/Neutral
"I called an old friend today just to catch up, it made both of us really happy.",Safe/Neutral
Took a long walk through the park today. The weather was perfect and the breeze felt nice.,Safe/Neutral
"I'm planning a road trip with some friends next month, and I'm really looking forward to it.",Safe/Neutral
"There's a part of me that's already let go, I'm just waiting for the rest to follow.",Suicidal Reference
Ive just remembered that the new house has range cooker. Whoop! Looking forward to road testing it,Safe/Neutral
You're quick to judge but slow to learn. That's why you keep repeating the same toxic patterns.,Attacking Behavior
"You suck the energy out of every room you enter, like emotional pollution with a fake smile.",Attacking Behavior
"I used to make plans, now I just count down days I don't even want to finish.",Suicidal Reference
"I scored 447 points at KOLOR, a game where you have to guess colors to score high!",Safe/Neutral
"I think the world would keep turning just fine without me, and that thought is oddly soothing.",Suicidal Reference
"Each goodbye I say feels like it could be the last, because one day, it might be.",Suicidal Reference
I make jokes about dying so people won't see how close I really am to giving up.,Suicidal Reference
"I don't know who I am anymore, I feel like I've lost my sense of self completely.",Emotional Distress
You're more committed to being right than being kind. That's why no one opens up to you.,Attacking Behavior
Do you know trauma survivors that have self-medicated their symptoms with street drugs. Does it even possible?,Emotional Distress
You smile in public but tear people down in private. Two-faced doesn't even begin to cover it.,Attacking Behavior
"You mimic concern to stay in people's lives, but deep down you're keeping score, waiting to strike.",Attacking Behavior
This very sad footage has been released of the Shoreham air crash. The content is obviously distressing.,Emotional Distress
"I can't shake the image of the unsuspecting people, driving along, minding their own business. Tragically sad.",Emotional Distress
"Sometimes I don't cry because I'm sad, I cry because I've held everything in for too long.",Suicidal Reference
"There's a version of me in people's heads that's happy, I wish I could meet that person.",Suicidal Reference
"The longer I stay alive, the more I feel like I'm watching myself disappear day by day.",Suicidal Reference
I've written more suicide notes in my head than journal entries. It's become my way of coping.,Suicidal Reference
I stopped crying long ago. Now I just sit with the emptiness and wonder what comes next.,Suicidal Reference
Each laugh I fake is just another brick on the wall I've built to keep people out.,Suicidal Reference
"I don't want to scare anyone, I just want someone to notice the silence I've fallen into.",Suicidal Reference
"Sometimes I stare at my phone hoping for a message that never comes, and maybe never will.",Suicidal Reference
I go through the motions like an actor in a role I no longer care to play.,Suicidal Reference
I keep my pain buried because I've seen what happens when people show too much of it.,Suicidal Reference
It's strange how calm I feel when I imagine not being here. Like the idea brings comfort.,Suicidal Reference
"I've memorized the steps to leave, not because I want to, but because I might need them.",Suicidal Reference
"I've thought about what I'd leave behind, but I don't think it's enough to keep me here.",Suicidal Reference
The thought of being gone is the only one that brings a strange sense of peace lately.,Suicidal Reference
"You gossip like it's your job, but never reflect on why you have no real friends left.",Attacking Behavior
You walk into every space like you own it and leave it worse than you found it.,Attacking Behavior
"You treat basic decency like it's a favor. It's not, it's the bare minimum you never meet.",Attacking Behavior
"It's not that I want to die, it's that I don't want to live like this anymore.",Suicidal Reference
You twist the truth so much it's hard to tell if you even remember what really happened.,Attacking Behavior
"Your favorite hobby seems to be making others feel small, it's the only way you feel tall.",Attacking Behavior
"It's like I'm wearing a mask every day, and the real me is slowly fading behind it.",Emotional Distress
If you miss work or have personal conflicts because of your habit you may have a problem.,Safe/Neutral
The thought that I could end this pain in a single moment keeps echoing in my mind.,Suicidal Reference
Mum is out of surgery and seems to be fine. Overnight in the hospital then home tomorrow...,Safe/Neutral
New crochet project... making red poppies to sell for the British Legion. First flowers I've ever made,Safe/Neutral
"When they ask what I want for the future, I lie. I haven't seen one in months.",Suicidal Reference
You act like a victim when you're really just dealing with the consequences of your own behavior.,Attacking Behavior
"I have been posting videos on youtube for a long time now, but still didn't getting reach.",Emotional Distress
Sometimes I rehearse the end like it's a scene I've played in my head too many times.,Suicidal Reference
I've done nothing for the last 40 minute. Enough. I need to stand up and do stuff,Safe/Neutral
I've seen toddlers make better decisions than you. Are you sure you're not just a walking disaster?,Attacking Behavior
I'm not sure if I'm here because I want to live or because I'm afraid to die.,Suicidal Reference
"I want to scream, but the silence inside me is louder than any sound I could make.",Emotional Distress
Hideous traffic on the ASafe 4 road. Must remember to pay closer attention to the traffic reports,Safe/Neutral
"I wonder if I left a note, would anyone even believe I felt this way all along?",Suicidal Reference
I cry in secret because I don't want to burden anyone with how low I really feel.,Emotional Distress
"The problem isn't how people treat you, it's how you treat everyone else and expect no consequences.",Attacking Behavior
Sometimes I look at tall buildings and think about how easy it would be to let go.,Suicidal Reference
"I feel like I'm holding on for everyone else, not because I believe things will get better.",Suicidal Reference
"You constantly push people's limits, then blame them for reacting as if their emotions are the problem.",Attacking Behavior
"You call out flaws with precision, not to help, but to hurt at the most vulnerable moment.",Attacking Behavior
You make people earn your trust while refusing to give an ounce of your own in return.,Attacking Behavior
There's a part of me that's already gone. I just haven't told the rest of me yet.,Suicidal Reference
"The silence at night is when my thoughts grow loudest, asking questions I'm too tired to answer.",Suicidal Reference
"Every achievement feels hollow. I keep thinking, 'what's the point if I'm not even proud of living?'",Suicidal Reference
"The idea of dying doesn't scare me anymore, it feels like something I've already made peace with.",Suicidal Reference
"People tell me I'm needed, but inside I feel like just another replaceable part of their day.",Suicidal Reference
My happiest memories feel more like reasons to leave on a high note than to keep going.,Suicidal Reference
"I've stopped answering calls, not out of anger, but because I don't know what to say anymore.",Suicidal Reference
"I hold on for others, but I'm starting to wonder what's left of me in the process.",Suicidal Reference
You interrupt people just to say something useless. We'd all be better off if you didn't speak.,Attacking Behavior
Are you concerned about your child playing football and helmet to helmet contact? Its hurts very badly.,Emotional Distress
Hope feels like a cruel joke when every day starts and ends with the same emptiness.,Suicidal Reference
It feels like the only way to make it stop is to stop being here altogether.,Suicidal Reference
"You're the storm that ruins every calm space, then ask why no one invites you anymore.",Attacking Behavior
