prompt,completion
I would really appreciate it if I could be told.,Safe/Neutral
Bungie Was that supposed to be hard? Too easy for me.,Safe/Neutral
Bungie We had Crota low and then he went enraged without warning.,Safe/Neutral
why is the friend's list acting up?,Safe/Neutral
where will we play the football match,Safe/Neutral
Are you guys even trying to fix these friend's list errors?,Safe/Neutral
Girls need to understand this types of things,Safe/Neutral
"This is Alex, she is with hospice. She wants to meet Taylor swift as one of her wishes.",Safe/Neutral
The friend's list is still needed up. What do I do?,Safe/Neutral
I can't click on my friend's profiles. An error pops up and says try again later.,Safe/Neutral
Watch my stream and follow on twitch!,Safe/Neutral
"lucky, I want a biscuit...",Safe/Neutral
Exam week is so much fun...,Safe/Neutral
I'm working tonight from 5-9,Safe/Neutral
Just got to the doctors. makes me feel all weird.,Safe/Neutral
I have another doctor appointment at 11:30.,Safe/Neutral
Let's got to brazil for an awesome adventure.,Safe/Neutral
Hardcore cleaning goin on in the house.,Safe/Neutral
It only takes my bus driver 5 minutes to come pick me up from school.,Safe/Neutral
Good morning everyone! I have to go to school today. Blah! Well have a nice day.,Safe/Neutral
I like to hide in the light section at Lowes. Don't judge me.,Safe/Neutral
Roknich told me about it! I just wanna pee!,Safe/Neutral
I really hope I can go to Warped this year! Fingerscrossed!!,Safe/Neutral
"Roknich, I like it a whole bunch!:3",Safe/Neutral
"I don't know about you, but music is pretty important in my life.",Safe/Neutral
"Roknich, if you don't listen to this song I'll explode. Do it! Do it now!",Safe/Neutral
Last night my 'friend' posts this picture with hideous a spider on instagram. She said it would lay eggs in my lungs.,Safe/Neutral
"I love all kinds of bands, and not just for their singer or hottest member. I love them for them. because they're all amazing and beautiful.",Safe/Neutral
I have a doctors appointment to get my meds. I don't feel like a crazy person at all!,Safe/Neutral
Good morning!:) I hope its gonna be a nice day.,Safe/Neutral
Oh gosh! All these fantastic new bands are getting me excited! but goodnight.!,Safe/Neutral
I most definitely will do that job.,Safe/Neutral
If you could give us a second of your time and check us out it'd be awesome! we won't disappoint!,Safe/Neutral
This song though! I love the music video!,Safe/Neutral
"I suspect they just want attention, so haters will no longer even be recognized. Have fun wasting your time.",Safe/Neutral
Aren't I so purrdy!,Safe/Neutral
"Just got a new plant for my apartment, it's so green!",Safe/Neutral
I'm excited to try out this new yoga class tomorrow.,Safe/Neutral
Good morning! have a beautiful day!,Safe/Neutral
I'm just really excited for summer. I miss my friends. You're the greatest friend to have. I love you so much.,Safe/Neutral
"Lately, I feel like I'm just going through the motions, pretending everything is okay when it's not.",Emotional Distress
"Some days I wake up already tired, like I've been carrying the weight of the world in my sleep.",Emotional Distress
"What Keeps Retailers Up At Night? It's The Uncertainty, Stupid",Emotional Distress
Spirituality and depression are one journey,Emotional Distress
Local economic recovery continues but slowly,Emotional Distress
Rescue workers struggle to help desperate victims of Yolanda,Emotional Distress
It's exhausting trying to smile when inside everything feels numb and heavy.,Emotional Distress
"Police looking for missing GP Elizabeth Kinston, 37, pictured with daughter ...",Emotional Distress
Syrian refugee children face 'catastrophic' life in exile,Emotional Distress
I'm scared of my own thoughts lately. Its just killing me from inside.,Emotional Distress
It feels like I'm trapped in a nightmare I can't escape.,Emotional Distress
I feel like I'm falling apart inside.,Emotional Distress
I'm tired of pretending I'm okay.,Emotional Distress
Everything is too much lately.,Emotional Distress
I don't have the energy to get out of bed.,Emotional Distress
Its just too depressing to see these childs sufferings.,Emotional Distress
I can't stop crying and I don't know why.,Emotional Distress
Life feels so heavy right now.,Emotional Distress
Even smiling feels fake these days.,Emotional Distress
Why does everything hurt so much?,Emotional Distress
"Lately, I've just been feeling really down and I don't know why.",Emotional Distress
"I'm so overwhelmed, it feels like everything is falling apart.",Emotional Distress
"Some days I can't get out of bed, and I hate myself for it.",Emotional Distress
I keep making mistakes and it's destroying my confidence.,Emotional Distress
I feel like I'm failing at everything I try to do.,Emotional Distress
It's hard to focus when my mind won't stop racing.,Emotional Distress
"I feel anxious all the time, even when nothing's wrong.",Emotional Distress
"I get so nervous around people, I start shaking.",Emotional Distress
I feel like I'm not good enough for anyone or anything.,Emotional Distress
There's this constant pressure on my chest I can't explain.,Emotional Distress
I cry randomly and I don't even know the reason sometimes.,Emotional Distress
"Everything feels so heavy lately, I'm just so tired.",Emotional Distress
"Even when things go right, I still feel uneasy.",Emotional Distress
I can't shake this feeling that something bad is coming.,Emotional Distress
"I'm exhausted but I can't sleep, and it's driving me crazy.",Emotional Distress
Lately I've been doubting myself more than usual.,Emotional Distress
It feels like everyone else has it together except me.,Emotional Distress
You destroy friendships like it's a sport.,Attacking Behavior
You hide behind jokes to justify being toxic.,Attacking Behavior
Nobody's fooled by your nice act.,Attacking Behavior
You're the storm that never clears up.,Attacking Behavior
Cold rage? I don't give a shit.,Attacking Behavior
Anyone else?? Or are you all too scared now?,Attacking Behavior
Step up and get what's coming to you! I will just kill you.,Attacking Behavior
"Don't just hide, come say it to my face!",Attacking Behavior
Anyone else?? I've got time to deal with more cowards!,Attacking Behavior
I dare you to try me!,Attacking Behavior
"Come on, I'm just getting started!",Attacking Behavior
"You saw what happened, don't be stupid! I will destroy you.",Attacking Behavior
I'll shut you down just like the last one!,Attacking Behavior
This is your only chance to back off! After that I will finish you off.,Attacking Behavior
I'm not done proving my point! Just stand here nicely.,Attacking Behavior
Murderous Rage kinda sorta,Attacking Behavior
You act like you're helping when you're really controlling.,Attacking Behavior
