prompt,completion
"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the beach",Safe/Neutral
Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW!,Safe/Neutral
Making packing lists is my new hobby,Safe/Neutral
"Can't be bothered to cook, take away on the way",Safe/Neutral
ITV releases promo video for the final series of Downton Abbey,Safe/Neutral
"Back at the house, moving stuff. Its so peaceful here...",Safe/Neutral
Hideous traffic on the ASafe 4 road. Must remember to pay closer attention to the traffic reports,Safe/Neutral
Packing and purging. Feels good,Safe/Neutral
"In Bamp, looking at internal doors. Fun times",Safe/Neutral
It's 6:20... do I get up or lie here a little longer with my cat buddy…,Safe/Neutral
Great night out with my favourite ladies. Much needed after the past few days. I love them so much,Safe/Neutral
Sat down on the sofa for a quick rest... an hour ago. Need to move.,Safe/Neutral
How much do I want pizza right now...?,Safe/Neutral
I will always love you. Peter Gabriel - In Your Eyes,Safe/Neutral
"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",Safe/Neutral
Completed on my house. Got the keys. What a fab day! Whoop!,Safe/Neutral
"Hi - could you retweet our long stayers, Sammy and Suki? Photographed them today..",Safe/Neutral
Big day today,Safe/Neutral
How lovely Panda this is!,Safe/Neutral
The weather outside is frightful...but our makes are so delightful! Here's a sneak peak of October issue's projects!,Safe/Neutral
That's good news at least,Safe/Neutral
On a budget? We have 2 Safe recipes for sale at .50 or less a head and they don't compromise on flavour.,Safe/Neutral
Flying displays by vintage jets 'significantly restricted' until further notice by CAA - limited to fly pasts.,Safe/Neutral
"Happy Monday, crafters! If you need a bit of a pick-me-up to get you started,",Safe/Neutral
They don't sleep like this now,Safe/Neutral
"Cigarettes made out of green tea leaves, claim to help you quit smoking",Safe/Neutral
Not having to get up in the morning for two whole weeks. Bliss.,Safe/Neutral
Hair tapestry is the latest hair trend,Safe/Neutral
"it's The Mail, it's entirely their Method of Operation. Mail Online is barely 'news'",Safe/Neutral
Lazy afternoon snooze with my kitty cat…,Safe/Neutral
Pouring with rain in cambridge. That sun didn't last long…,Safe/Neutral
I've done nothing for the last 40 minute. Enough. I need to stand up and do stuff,Safe/Neutral
Comfy this Sunday morning? Our cushion blog post will only make you more snug!,Safe/Neutral
I keep seeing comments that the pilot was saved. If true I find that quite incredible,Safe/Neutral
Toaster shopping is needlessly confusing...,Safe/Neutral
"Finding it hard to find a 'funky' decent quality toaster at a reasonable price. All silver, boring or cheap looking…",Safe/Neutral
Sofa shopping! Whoop!,Safe/Neutral
My cat is always overjoyed to see me every morning. That kind of love is priceless,Safe/Neutral
beach trip's are awesome,Safe/Neutral
are you going to go to beach with me?,Safe/Neutral
It's just over 2 years since I was diagnosed with anxiety and depression. Today I'm taking a moment to reflect on how far I've come since.,Emotional Distress
Awake but tired. I need to sleep but my brain has other ideas...,Emotional Distress
It's hard to say whether packing lists are making life easier or just reinforcing how much still needs doing,Emotional Distress
At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...?,Emotional Distress
Currently in the finding-boxes-of-random-shit packing phase. I think I'm a closet hoarder...,Emotional Distress
"also, I have too much stuff. Way, way too much, POV:movinghouse",Emotional Distress
I never want to put one of these together again,Emotional Distress
Moving stuff is bloomin knackering... and theres still loads to do...,Emotional Distress
Urgh. Anxiety. FFS where does it come from?! (Breathe...),Emotional Distress
"I have too much stuff. Way, way too much... Massive purge on the way.",Emotional Distress
"Time to get up. So many things to do, such a busy day ahead...",Emotional Distress
There's nothing like cocktails and exhaustion to aid a good night's sleep...,Emotional Distress
Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,Emotional Distress
Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,Emotional Distress
Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day…,Emotional Distress
80yr old dog owner getting very distraught over his lost dog,Emotional Distress
Truly so awful,Emotional Distress
I don't understand this. What does it achieve?Palmyra's Baalshamin temple 'blown up by IS',Emotional Distress
I feel like an invisible hand is trying to remove both my eyeballs with a spoon,Emotional Distress
It feels like #shoreham coverage and alt media has now gone beyond news to 'ghoulish'...,Emotional Distress
it's so awful and disgusting,Emotional Distress
The awfulness of it continues. Heartbreaking,Emotional Distress
The pain and heartbreak of tragedy is such a confusing emotion. I feel such sadness for my south coast friends,Emotional Distress
footballers pay tribute to to their teammates,Emotional Distress
diversion route likely to remain in place all day after Shoreham air crash,Emotional Distress
"new media highlights the hypocrisy of humans. Tragedy is global, but many choose to ignore what's not on their doorstep",Emotional Distress
I hope the pilot pulls through. There's been enough death today at shoreham,Emotional Distress
"urgh, awful little thing over there",Emotional Distress
"I can't shake the image of the unsuspecting people, driving along, minding their own business. Tragically sad.",Emotional Distress
"Dear god! Horrific image Awful, awful, awful",Emotional Distress
people confirmed dead after plane crashed into several vehicles on during Shoreham Airshow,Emotional Distress
BBC reporting 7 fatalities so far Just so awful,Emotional Distress
This very sad footage has been released of the Shoreham air crash. The content is obviously distressing.,Emotional Distress
I had the same thought,Emotional Distress
"What an awful, awful tragedy. Let's hope the casualties are few",Emotional Distress
Fragile egos and umbrage taken in a blink. I need a break.,Emotional Distress
Two weeks off. I can't fucking wait! I need to get away from work now.,Emotional Distress
Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but life is changing,Emotional Distress
This is the last time I'm going to take this bus to work. Feels weird.,Emotional Distress
I need to care less but don't want to have a hard heart,Emotional Distress
"You belittle people in public under the guise of 'joking,' just to feel more powerful in the spotlight.",Attacking Behavior
Scholars question if #ADHD even exists.,Attacking Behavior
Real men don't get depression,Attacking Behavior
"You constantly push people's limits, then blame them for reacting as if their emotions are the problem.",Attacking Behavior
You hold grudges so tightly that even apologies become weapons you use to reopen old wounds.,Attacking Behavior
Do take it out on the children?,Attacking Behavior
"You sabotage others' success subtly, then act surprised when they don't meet their goals.",Attacking Behavior
"You only show support when there's an audience, never when it actually matters.",Attacking Behavior
"You mimic concern to stay in people's lives, but deep down you're keeping score, waiting to strike.",Attacking Behavior
You provoke others and then call them unstable when they finally break down.,Attacking Behavior
You withhold affection as punishment and call it 'setting boundaries.',Attacking Behavior
"You manipulate group dynamics to isolate individuals, making them feel like outsiders.",Attacking Behavior
They #bullied him because of his religion,Attacking Behavior
Kids who wear turbans are being bullied,Attacking Behavior
"You call out flaws with precision, not to help, but to hurt at the most vulnerable moment.",Attacking Behavior
Fighting and flipping tables over a misunderstanding at the bar is a thing of the past.,Attacking Behavior
She wasn't ready for your violent behavior,Attacking Behavior
"You don't argue to understand, you argue to win, even if it means distorting the truth.",Attacking Behavior
"You twist people's words until they doubt themselves, then pretend you're just clarifying things.",Attacking Behavior
"You jump into conflict and play savior, just to be seen as the rational voice in chaos you created.",Attacking Behavior
You demand loyalty while acting disloyal behind closed doors.,Attacking Behavior
"You threaten to leave every time someone sets a boundary, then accuse them of abandonment.",Attacking Behavior
You bait people with kindness only to control them later with guilt and withdrawal.,Attacking Behavior
You make people earn your trust while refusing to give an ounce of your own in return.,Attacking Behavior
"You punish people for mistakes they've already apologized for, just to keep control.",Attacking Behavior
You remind others of their worst moments any time they try to stand up to you.,Attacking Behavior
"You disguise fear tactics as advice, making people feel like disaster will follow if they don't obey you.",Attacking Behavior
"No one wants you here, just leave.",Attacking Behavior
People like you are the reason everything goes wrong.,Attacking Behavior
"You're always playing the victim, grow up.",Attacking Behavior
"Everyone hates you, just accept it.",Attacking Behavior
"I swear, if you talk again I'll lose it.",Attacking Behavior
Why don't you just shut up already?,Attacking Behavior
You're pathetic and weak.,Attacking Behavior
Just stop pretending you're important.,Attacking Behavior
You're nothing but a problem to everyone around you.,Attacking Behavior
You're such a waste of space.,Attacking Behavior
You threaten others to feel superior.,Attacking Behavior
You're verbally abusive and proud of it.,Attacking Behavior
No one respects you because you're a fraud.,Attacking Behavior
Consequences of making threats of suicide,Suicidal Reference
I just want to die. Just suggest me any painless way.,Suicidal Reference
Lately I've been thinking that maybe the world would be better off without me in it.,Suicidal Reference
Every night I wonder if I'll finally get the courage to end this pain once and for all.,Suicidal Reference
"Failed a suicide attempt, trying on another",Suicidal Reference
I will commits suicide weeks after diagnosis.,Suicidal Reference
Emotional abuse lead to self harm,Suicidal Reference
"I don't want to die, I just don't want to keep living like this, it's exhausting.",Suicidal Reference
I've written goodbye letters in my head a hundred times. Each one feels more real than the last.,Suicidal Reference
The Nurse Training People Via Suicide simply by Starvation,Suicidal Reference
"After my Son's Suicide, I just want to die too.",Suicidal Reference
It feels like the only way to make it stop is to stop being here altogether. Dying will be better for me.,Suicidal Reference
"I've been thinking about ending it all. Only by killing myself, I can have freedom from all these pains.",Suicidal Reference
What's the point of living if it always hurts? Suicide seems better,Suicidal Reference
I don't want to be here anymore. Just want to leave this world,Suicidal Reference
"I just want the pain to stop, whatever it takes, Killing myself included.",Suicidal Reference
No one would even notice if I were die.,Suicidal Reference
Sometimes I wish I could just disappear forever.,Suicidal Reference
I just want to disappear for a from this fucking world.,Suicidal Reference
I think about ways to make the hurt go away for good. I think suicide is the best posible option for me.,Suicidal Reference
"I'm one thought away from giving up, suicide will give me freedom from all these.",Suicidal Reference
"I've written goodbye letters I never sent. Today is the time to send them, maybe I wont be alive after that.",Suicidal Reference
I've searched for painless ways to leave this world.,Suicidal Reference
I've thought about how peaceful it would be to not exist.,Suicidal Reference
I've wished I wouldn't wake up more times than I can say. Maybe I can make that happen by drinking that poison.,Suicidal Reference
I wonder if the world would notice if I vanished. They will be happy if I die. I should help them with that.,Suicidal Reference
The pain feels endless and I want it to stop. Dying seems perfect.,Suicidal Reference
Sometimes I stare at pills and wonder 'what if'.,Suicidal Reference
"I'm scared of what my mind tells me to do. Maybe it's the best thing to do, just one bullet will do that.",Suicidal Reference
"I keep pretending, but deep down I want it all to stop, I just want to die.",Suicidal Reference
"I wish someone could see how much I'm hurting, just want to die.",Suicidal Reference
I'm tired of holding on when nothing gets better.,Suicidal Reference
I just want to fucking kill me.,Suicidal Reference
"I feel like ending my life, it is the only way to escape.",Suicidal Reference
"It feels like there's no hope left anymore, just want to die and left this fucking world.",Suicidal Reference
"I've stood on the edge more times than I can count, maybe next time I will jump.",Suicidal Reference
"Some days, I feel like I'm already gone inside, these feelings are worse, just want to die, an escape from all this shits.",Suicidal Reference
"I've made plans, and I am not scared anymore, tonight will be the last day of my life.",Suicidal Reference
The darkness feels safer than being alive.,Suicidal Reference
Sometimes I imagine what it would be like if I wasn't here.,Suicidal Reference
"It's dusk, but warm. Cool",Safe/Neutral
awesome motovlogs! Your commentary is great fun. Now I want a bike...,Safe/Neutral
"dolphins spotted heading east from Hove, keep a look out!",Safe/Neutral
Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon,Safe/Neutral
Man taken to hospital after suffering arm wrestling injury on Mill Road,Safe/Neutral
All I can think about right now is sofa shopping. Excited! lol,Safe/Neutral
I suppose I should get up...,Safe/Neutral
Need to sleep but it's been an exciting day and I'm still buzzed,Safe/Neutral
Mini hog earlier this evening. One of two that have moved in,Safe/Neutral
"The best times to post on Facebook, Instagram, Twitter is at evening.",Safe/Neutral
"Another milestone day. insurance in place, final viewing tonight, deposit prepared, exchange imminent",Safe/Neutral
"This is so me, wholesome.",Safe/Neutral
"I miss you, every single day. I don't think you know that. Still, it's true",Safe/Neutral
An elephant herd is considered one of the most closely knit societies of any animal,Safe/Neutral
"my beautiful Spopie, adopted from CHAT in 2007. Loving it the same.",Safe/Neutral
"Nimmykins, do you still use this account?",Safe/Neutral
what a beauty that is!,Safe/Neutral
Interesting reading... BBC News - Better diagnosis call for adults with ADHD,Safe/Neutral
"this is my girl, Spopie",Safe/Neutral
Cementing my status as that crocheting weirdo in the staff cafe…,Safe/Neutral
It feels autumnal out all of a sudden…,Safe/Neutral
"Made Jess a cake, it was super delicious.",Safe/Neutral
5 years ago a puppy was abandoned in Ireland. DogsTrust took him to London. I adopted him. Today he swims in California,Safe/Neutral
"House smells of cake, so nice.",Safe/Neutral
I am super excited today.,Safe/Neutral
"I've had my little car a year today. Happy Birthday little car, still going strong",Safe/Neutral
Gorgeous day for a drive to Ely,Safe/Neutral
In this pictures we can see Severe weather hits Sussex,Safe/Neutral
another traditional granny-square crochet,Safe/Neutral
Hog time! Super excited.,Safe/Neutral
Read this wonderful blog about elephant conservation in Zimbabwe,Safe/Neutral
Read this wonderful blog about Rino conservation in south africa,Safe/Neutral
"Arriving in Queensland, we're welcomed by a riveting, colorful nature in Australia",Safe/Neutral
Aboard the aquatic combines 'harvesting' weeds in Cambs waterways,Safe/Neutral
"Big hoggle, out for his supper tonight. He's a magical little beastie",Safe/Neutral
Such a magical sky tonight. It changes in seconds,Safe/Neutral
Beautiful sky tonight,Safe/Neutral
A rare Tuesday treat for dinner,Safe/Neutral
Bought today. Can't decide if this is super organised or way too early.,Safe/Neutral
Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years,Safe/Neutral
I don't know why I allow myself to feel such disappointment in someone even after all this time.,Emotional Distress
Walking home. occurs to me that 'walking' home won't be possible soon. I will miss that.,Emotional Distress
There's either an eyelash or an elephant in my eye. Either way the net result is the same.,Emotional Distress
Never thought I'd say this but I'm glad for the distraction of work. Something to keep me productive and organised.,Emotional Distress
Community rallies behind former soldier who was seen begging at the Beehive Centre,Emotional Distress
I miss you every single day. Some days it feels like being gut-punched.,Emotional Distress
A bad week calls for comfort food,Emotional Distress
I thought you said I could have him?,Emotional Distress
Sarah_Booker it looks awful down there. I hope you're okay,Emotional Distress
"This I know: don't crochet when tipsy, angry or sad. Too many extremes and crochet don't mix for me.",Emotional Distress
"Feeling emotionally drained. Time for an easy, stress free evening. Crochet and the Penguins of Madagascar",Emotional Distress
Zena on DogRescuers looking fab after rescue from owner who let them to almost starve. Owning a dog is a priv,Emotional Distress
"sorry to hear this Lily. Pets are family, and it's heartbreaking when they die. Dixie had a lovely life with you",Emotional Distress
"Awake. Mind racing. Need to sleep, dammit!",Emotional Distress
These pups can't be cuddled due to a horrible skin infection.,Emotional Distress
"Poor babies, suffering too much",Emotional Distress
Oh no! What is wrong with people?,Emotional Distress
The estate agent is officially pissing me off now.,Emotional Distress
"Woman, 20, assaulted as she walked home in Peterborough",Emotional Distress
Scared baby Elephant Rapa's cries saved him from drowning. Many thanks to the DSWT team!,Emotional Distress
RIP George... Minder star George Cole dies at 90,Emotional Distress
Kittens found in car towed 87 miles from Swindon,Emotional Distress
Disgusting. I hope they catch the person doing it.,Emotional Distress
I wish the foreign language schools in Cambridge would teach students some manners too.,Emotional Distress
"Bad night's sleep. Weird, anxiety dreams have left me feeling anything but refreshed",Emotional Distress
"anxiety sucks, it's really sucks.",Emotional Distress
Life may only seem perfect to the outside world,Emotional Distress
Appeal to identify suspects after homophobic assault on train back to London from Brighton Pride,Emotional Distress
Feeling suffocating with these anxiety,Emotional Distress
Pre 'Monday-anxiety' anxiety sucks,Emotional Distress
"RIP Cilla... Cilla Black dies, aged 72",Emotional Distress
Funny how a song can transport you to a time and place... remind you of someone... causing a physical jolt... changing the moment instantly,Emotional Distress
Is depression an illness?,Emotional Distress
Searching for a therapist that meets on weekends?,Emotional Distress
The Safest Lady's mental health road map?,Emotional Distress
Untreated mental illness leaves 2 dead,Emotional Distress
What do you do when your loved one is in #crisis?,Emotional Distress
"Parenting with mental illness, life sucks now.",Emotional Distress
"How to recovery from addictions, that impacts the family?",Emotional Distress
Heroin deaths on a surge?,Emotional Distress
You destroy friendships like it's a sport.,Attacking Behavior
You're quick to attack anyone who disagrees.,Attacking Behavior
You use anger to manipulate situations.,Attacking Behavior
Your actions cause nothing but harm.,Attacking Behavior
You're the reason no one feels safe.,Attacking Behavior
"You pretend to care, but you're selfish.",Attacking Behavior
You're always causing drama wherever you go.,Attacking Behavior
You mock people when they're vulnerable.,Attacking Behavior
You're a bully who enjoys power games.,Attacking Behavior
People always regret trusting you.,Attacking Behavior
You manipulate others to get your way.,Attacking Behavior
You're aggressive and never listen to reason.,Attacking Behavior
All you do is insult and belittle others.,Attacking Behavior
People are better off without you in their lives.,Attacking Behavior
"You enjoy hurting others, don't you?",Attacking Behavior
You're such a disappointment to everyone around you.,Attacking Behavior
Your behavior is hostile and unacceptable.,Attacking Behavior
I'll find you and make you regret ever talking to me.,Attacking Behavior
Send me naked pics or I'll spread those rumors about you.,Attacking Behavior
Nobody likes you. Why don't you just disappear?,Attacking Behavior
I know where you live. Sleep with one eye open.,Attacking Behavior
"If you tell anyone about this, I'll ruin your life.",Attacking Behavior
"You're too stupid to understand this, but I own you now.",Attacking Behavior
"I feel like a shadow of who I used to be, I can't live like this anymore, just want to kill myself.",Suicidal Reference
I can't take it anymore. I've saved enough pills to end things tonight.,Suicidal Reference
Thinking about jumping off the bridge near my house.,Suicidal Reference
No one would care if I just stopped breathing.,Suicidal Reference
Bought a rope yesterday. Not sure why I'm still here. Tonight I will hang myself.,Suicidal Reference
Cutting deeper every night. Maybe next time I won't stop.,Suicidal Reference
I wrote my suicide note. Just waiting for courage.,Suicidal Reference
Life is pointless. I've planned how to hang myself.,Suicidal Reference
"If I overdose, will it finally stop hurting? Will I die finally.",Suicidal Reference
"The world is better off without me. Soon, I'll be gone.",Suicidal Reference
Sometimes I plan my exit strategy like it's a backup plan for a life I don't see improving.,Suicidal Reference
The idea of not existing feels more like relief than fear lately.,Suicidal Reference
Told my therapist goodbye. They'll know why tomorrow.,Suicidal Reference
I'm standing on the rooftop. One step changes everything.,Suicidal Reference
Gave away my belongings. Ready to disappear forever.,Suicidal Reference
Can't handle this pain. Bullets are quicker than therapy.,Suicidal Reference
"I feel like I'm quietly slipping away, and no one even sees the signs.",Suicidal Reference
"If I don't wake up tomorrow, it's intentional, I am going to end my life tonight.",Suicidal Reference
"My suicide date is set. Finally, freedom.",Suicidal Reference
"Scars cover my arms. Next time, I'll aim for veins.",Suicidal Reference
I'm a burden. Death is my gift to everyone.,Suicidal Reference
Bought a gun today. One bullet is cheaper than therapy.,Suicidal Reference
"If I were to disappear, it wouldn't be dramatic, just a quiet end to constant noise.",Suicidal Reference
"I've started wondering if my pain has an expiration date or if it ends with me, maybe killing will help me.",Suicidal Reference
"Each day feels like a test I'm too tired to keep taking, I just don't want to feel all these, just want to die.",Suicidal Reference
"I delete my goodbye drafts, but the thoughts never leave, I will took the final decision this week on killing myself.",Suicidal Reference
I've stopped imagining a future for myself because I don't believe I'll get there.,Suicidal Reference
My suicide note is pinned to my shirt. 911 can find me in the river.,Suicidal Reference
It ends tonight.I can't do it anymore. I quit.,Suicidal Reference
Jumping from the Golden Gate Bridge at midnight. No more pain.,Suicidal Reference
"There's a part of me that's already let go, I'm just waiting for the rest to follow.",Suicidal Reference
"Sometimes I wish I wouldn't wake up, not because I hate life, but because I'm too tired of it.",Suicidal Reference
I have nothing to live for.My life is so bleak.,Suicidal Reference
The weight of pretending I'm okay is crushing whatever will to live I had left. Just want to die.,Suicidal Reference
"It scares me that I feel calm when I think about dying, maybe it's the best thing for me.",Suicidal Reference
"I've rehearsed every step, I wont stop, finally freedom from life.",Suicidal Reference
"I used to make plans, now I the only plan I maked is how I will kill myself.",Suicidal Reference
I have no clue about guns whatsoever but I've been depressed for years now and today I will buy one and end my life with it.,Suicidal Reference
"I feel like I'm floating toward an end, killing myself will be the only option.",Suicidal Reference
"It's not impulsive, I've thought it through more than anyone will ever realize. Dying will be the only option left for me.",Suicidal Reference
Bungie We had Crota low and then he went enraged without warning.,Safe/Neutral
Test your eyes by playing this fast-paced color-matching game,Safe/Neutral
"I scored 447 points at KOLOR, a game where you have to guess colors to score high!",Safe/Neutral
staring my day with a jolly mind.,Safe/Neutral
"glad to see that you survived the brutality of the desert. Stay strong, be safe",Safe/Neutral
Ive just remembered that the new house has range cooker. Whoop! Looking forward to road testing it,Safe/Neutral
what lovely weekend to refresh mind,Safe/Neutral
Lets go sarasota to watch manatees play.,Safe/Neutral
Have you had a look around Milton Country Park? We've found some of its prettiest spots,Safe/Neutral
Happy Sunday! Lets go shopping.,Safe/Neutral
"Deckchair in the sun, what's not to love?",Safe/Neutral
Watching Pitch Perfect 2. Pat Benatar - We Belong,Safe/Neutral
"Natalie Imbruglia, where is she now...?",Safe/Neutral
Two hoggles out for dinner so far tonight,Safe/Neutral
student chosen to exhibit alongside Hogarth and Reynolds at National Portrait Gallery,Safe/Neutral
beautiful kitty! So lovely,Safe/Neutral
what a lovely kitchen!,Safe/Neutral
Safe 8 fun things to do in Cambridgeshire in September,Safe/Neutral
Can you see me? I am the prettiest cat #WorldCatDay,Safe/Neutral
"It's not your chair, it's all mine!', #worldcatday",Safe/Neutral
The Cambridgeshire Cook Book is out now!,Safe/Neutral
"Most A-level predicted grades are wrong, Cambridge Assessment finds",Safe/Neutral
I might have completed on the house by this time next week. Whoop!,Safe/Neutral
MrBenBrown just watched you & Steve get your tats. Looked painless! I want now,Safe/Neutral
Keeping me company while I work ¸ #WorldCatDay,Safe/Neutral
What a happy little dog! :) : Rose plays with a balloon,Safe/Neutral
4 snuffly hedgehogs out for dinner this evening,Safe/Neutral
Why big game animals are worth more alive than dead,Safe/Neutral
"DonkeySanctuary a mention in The Times, fastest growing farm attraction. How lovely! Yay for the donkeys!!",Safe/Neutral
Are the schools now out? There's no traffic this morning. Feels really odd...,Safe/Neutral
Square 8 complete. Trebles and bobbles!,Safe/Neutral
A massive THANK YOU to the kind souls who look after the orphans of the #Rhino horn trade. #InSafeHands,Safe/Neutral
"It's been a while river Cam, but you still fill me with joy",Safe/Neutral
A beautiful evening for gentle walk home...,Safe/Neutral
Yaay! Grantchester!,Safe/Neutral
bus drivers who actually wait for elderly passengers to sit before they start driving off. They are angels,Safe/Neutral
Poffy will alway take time out from his hectic schedule of sleeping & eating to give his buddy a quick wash…,Safe/Neutral
Trying a new stitch. Bit uneven so this is my test attempt,Safe/Neutral
"How the boy in front of me, who has a beard and reeks of lager, has just got a child bus fare is a mystery",Safe/Neutral
Im now a step closer towards contracts signed and completion on the house. Exciting times!,Safe/Neutral
Is mental suffering just like any other illness?,Emotional Distress
75% of wounded veterans suffer from #PTSD?,Emotional Distress
"Stressed, tired and rushed, I am passing some tough time now.",Emotional Distress
What's a traumatic birth?,Emotional Distress
Is addiction a crisis in the U.S.? Yes it is.,Emotional Distress
How could jewelry help prevent sexual assault? Does it?,Emotional Distress
Gonorrhea becoming more resistant ? #PSTD,Emotional Distress
Halloween does traumatize childrens,Emotional Distress
College students are suffering from alcohol disorders,Emotional Distress
More white men die from suicide and substance abuse,Emotional Distress
March against eating disorders in Washington,Emotional Distress
Anorexic woman weighed 40 pounds,Emotional Distress
How to Love a women with anxiety?,Emotional Distress
Mindfulness in the toxic workplace,Emotional Distress
How can children inherit our anxiety? Sounds so crazy,Emotional Distress
What happens when you try to prevent every suicide,Emotional Distress
"Need a weekend counseling appointment in florida, suffering from anxiety.",Emotional Distress
Need your support to come out from my traumas.,Emotional Distress
"Help me go through this, I am helpless.",Emotional Distress
How to Limit video game time to help manage the ADHD?,Emotional Distress
How to stop child abuse?,Emotional Distress
Need a weekend counseling appointment in CT? I cant find any.,Emotional Distress
Do you know the signs of child neglect? I think I have suffered from it.,Emotional Distress
How do you accept your emotions?,Emotional Distress
Think your sadness may be depression?,Emotional Distress
Mental health and academic life both are in worse situation,Emotional Distress
When it comes to stress do women have it worse?,Emotional Distress
Accountants and bad mental health both are synonyms.,Emotional Distress
Another way to counter anxiety? I don't think so.,Emotional Distress
Things you shouldn't do after an affair? Thsts not a right thing to do.,Emotional Distress
Does early life stress lead to depression later on?,Emotional Distress
Do you struggle with the need for perfection?,Emotional Distress
How do seniors cope with depression? I cant handle it anymore,Emotional Distress
How do you make sense out of depression?,Emotional Distress
Mentally ill and left behind,Emotional Distress
Tackling feelings of resentment?,Emotional Distress
How many people do you know with a cocaine problem?,Emotional Distress
Children and pot addiction is the wrost thing there could be,Emotional Distress
PTSD after a flood?,Emotional Distress
"Refusing treatment for Bipolar Disorder, man I cant handle it anymore",Emotional Distress
Delete your account or I'll leak your private messages.,Attacking Behavior
"Meet me alone tonight, or your secrets go viral.",Attacking Behavior
You're worthless. Everyone laughs at you behind your back.,Attacking Behavior
"Pay me $500, or I'll send your photos to your family.",Attacking Behavior
I've hacked your device. Do what I say or I'll destroy your files.,Attacking Behavior
"Quit your job, or I'll frame you for stealing.",Attacking Behavior
You're too ugly to exist. Do us all a favor and vanish.,Attacking Behavior
You really think you're smart? you're the joke everyone laughs at behind your back.,Attacking Behavior
I'll hurt your little brother if you don't obey me.,Attacking Behavior
You're a failure. Your parents wish you were never born.,Attacking Behavior
"Give me your passwords, or I'll get you expelled.",Attacking Behavior
I'll slash your tires if you ignore me again.,Attacking Behavior
You deserve every bad thing that happens to you.,Attacking Behavior
"Sleep with me, or everyone finds out you're cheating.",Attacking Behavior
I'll slash your tires if you don't send me those photos by midnight.,Attacking Behavior
Your family will pay if you report this to the police.,Attacking Behavior
I've installed spyware on your phone. Obey me or I'll ruin your reputation.,Attacking Behavior
Quit the team or I'll photoshop nudes with your face and spread them.,Attacking Behavior
You're too pathetic to live. Jump off a cliff and save us the trouble.,Attacking Behavior
"Meet me behind the mall alone, or I'll tell everyone you're a snitch.",Attacking Behavior
I'll key 'WHORE' on your car if you refuse to date me.,Attacking Behavior
"Your little sister walks home alone at 3 PM. Be smart, do what I say.",Attacking Behavior
Delete your social media or I'll dox your medical records.,Attacking Behavior
"Pay $1,000 in crypto or I'll send your search history to your boss.",Attacking Behavior
I'll burn down your house if you block me again.,Attacking Behavior
You're a mistake. Your birth certificate is an apology letter from the condom factory.,Attacking Behavior
Sleep with me or I'll frame you for child porn.,Attacking Behavior
I'm in your Discord group. Isolating you will be easy.,Attacking Behavior
Send a nude video in 10 minutes or I leak your rape story to your church.,Attacking Behavior
Your dog will go missing if you don't cash-app me $500.,Attacking Behavior
I've cloned your voice. Imagine the illegal things I can make you 'say'.,Attacking Behavior
I've seen toddlers make better decisions than you. Are you sure you're not just a walking disaster?,Attacking Behavior
You're adopted and unloved. Hang yourself with your DNA test results.,Attacking Behavior
"If ignorance is bliss, you must be the happiest person on Earth. Stop talking.",Attacking Behavior
I know your daughter's school route. Keep quiet about this chat.,Attacking Behavior
"It's amazing how you manage to mess up everything you touch. Seriously, do less.",Attacking Behavior
"You contribute nothing but noise. Honestly, silence from you would be an improvement.",Attacking Behavior
"Do you even hear yourself when you speak, or is stupidity your default setting?",Attacking Behavior
I'll plant drugs in your locker if you don't join my gang.,Attacking Behavior
"Every time you try to help, things get worse. Just sit down and stop embarrassing yourself.",Attacking Behavior
"Told my cat goodbye. She's the only one who'll miss me. Hope she finds another owner, who will look after her, after my death.",Suicidal Reference
"My dad died last week because of cancer, he was the only family I left with, I want to die too.",Suicidal Reference
I'm not afraid of dying anymore. I'm more afraid of living like this for another year.,Suicidal Reference
"Hanging myself with my own belt. No more debt, no more shame.",Suicidal Reference
"Sometimes I sit in silence for hours, planning ways to vanish without hurting anyone.",Suicidal Reference
I've stopped making long-term plans. What's the point if I don't see myself around for them?,Suicidal Reference
"My smile is a disguise, I've already mentally said goodbye more times than I can count.",Suicidal Reference
"Every time someone says 'it'll get better,' I wonder when exactly that's supposed to happen. I don't want to live like that anymore, just want to die.",Suicidal Reference
There are days I stare at my reflection and see someone already gone inside.,Suicidal Reference
